schoolcampus,dbn,bldg_code
PS 247(BROOKLYN),20K247,K247
PS 249(BROOKLYN),17K249,K249
PS 250(BROOKLYN),14K250,K250
PS 251(BROOKLYN),22K251,K251
PS 253(BROOKLYN),21K253,K253
PS 254(BROOKLYN),22K254,K254
PS 255(BROOKLYN),22K255,K255
PS 256(BROOKLYN),13K256,K256
PS 257(BROOKLYN),14K257,K257
JHS 259 WILLIAM MCKINLEY(BS),20K259,K259
PS 261(BROOKLYN),15K261,K261
PS 262(BROOKLYN),16K262,K262
PS 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS(BS),20K264,K264
DR.SUSAN MCKINNEY SECONDARY SCHOOL OF THE ARTS(BN),13K265,K265
MS 267 MATH SCIENCE & TECHNOLOGY SCHOOL(BN),16K267,K324
PS 268(BROOKLYN),18K268,K268
PS 269(BROOKLYN),22K269,K269
PS 272(BROOKLYN),18K272,K272
PS 273(BROOKLYN),19K273,K273
PS 274(BROOKLYN),32K274,K274
PS 276(BROOKLYN),18K276,K276
PS 277(BROOKLYN),22K277,K277
IS 278(BS),22K278,K278
PS 279(BROOKLYN),18K279,K279
IS 281(BS),21K281,K281
PS 282(BROOKLYN),13K282,K282
PS 284(BROOKLYN),23K284,K284
IS 285(BS),18K285,K285
PS 287(BROOKLYN),13K287,K287
PS 288(BROOKLYN),21K288,K288
PS 289(BROOKLYN),17K289,K289
PS 290(BROOKLYN),19K290,K290
IS 296 THE ANNA GONZALEZ COMMUNITY SCHOOL(BN),32K296,K296
PS 297(BROOKLYN),14K297,K297
PS 298(BROOKLYN),23K298,K298
PS 299(BROOKLYN),32K299,K299
PS 306(BROOKLYN),19K306,K306
PS 307(BROOKLYN),13K307,K307
PS 312(BROOKLYN),22K312,K312
JHS 318(BN),14K318,K318
PS 319(BROOKLYN),14K319,K319
PS 321(BROOKLYN),15K321,K321
PS/IS 323(BROOKLYN),23K323,K263
PS 260(BROOKLYN),19K260,K260
PS 326(BROOKLYN),22K326,K852
PS 327(BROOKLYN),23K327,K327
PS 329(BROOKLYN),21K329,K329
IS 340(BS),17K340,K874
PS 345(BROOKLYN),19K345,K345
EBBETTS FIELD MIDDLE SCHOOL(BS),17K352,K320
WILLIAMSBURG COLLEGIATE CHARTER SCHOOL(BROOKLYN),84K355,K016
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL(BS),84K356,K391
KIPP AMP CHARTER SCHOOL(BN),84K357,K390
PS 361(BROOKLYN),22K361,K269
IS 364 GATEWAY(BN),19K364,K364
THE SCIENCE & MEDICINE MIDDLE SCHOOL(BROOKLYN),18K366,K366
