schoolcampus,dbn,bldg_code
MANHATTAN NORTH BOROUGH OFFICE,,
MANHATTAN SOUTH BOROUGH OFFICE,,
MARTA VALLE MODEL HS(MS),,
MARTE VALLE SECONDARY SCHOOL(MS),,
MID MANHATTAN ADULT TRAINING CENTER(MN),,
MONROE ACADEMY ANNEX(XE),,
MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE),,
MORRIS HS(XE),,X400
MOTT HAVEN EDUCATIONAL CAMPUS,,X790
MS 118(BX),,
MS 118(XW),,X118
MS 135(XE),,
MS 136(BS),,
MS 174(XE),,
MS 180(QS),,
MS 2(BS),,
MS 203(XW),,
MS 222(XW),,
MS 308(XW),,
MS 326 WRITERS TODAY & LEADERS TOMORROW(MN),,
MS 347/349(BN),,K111
MS 399(XW),,
MS 45 STARS PREP ACADEMY(MN),,
MS 88(BS),,
NEW CHOICE ES @ Q892 (QS),,
NEW SCHOOL FOR ARTS & SCIENCES(XE),,
NEW SETTLEMENT COMMUNITY CAMPUS(XW),,X240
NORMAN THOMAS HS(MS),,
OFFSITE EDUCATION SERVICE(QS),,
OFFSITE SUSPENSION CENTERS(BN),,
P233@ BEACH CHANNEL HS(QS),,
P37 ANNEX(SI),,
P723X@JILL CHAIFETZ TRANSFER HS,,
P752 CAREER DEV.(QS),,Q690
P752@LAW & ENFORCEMENT(QS),,Q690
PABLO NERUDA ACADEMY FOR ARCHITECTURE & WORLD STUDIES(XE),,
PACIFIC HS(BN),,K520
PAL LONGWOOD SUSPENSION CENTER(XE),,
PARK PLACE ACADEMY(OLD BELMONT ACADEMY BKLYN SUSP. SITE)(BN),,
PARK WEST EVENING M/W(MS),,
PARK WEST EVENING T/R(MS),,
PASSAGES ACADEMY AT BELMONT(BN),,
PATHWAYS FOR YOUTH@CASTLE HILL COMMUNITY CENTER(XE),,
PREK CENTER @ 1258 65TH STREET (UPK695K),,
PREK CENTER DISTRICT 9 (UPK-582X),,
PS 003 ANNEX (STATEN ISLAND),,
PS 1 ANNEX - BS,,
PS 101(MN),,M101
PS 103 ANNEX(XE),,
PS 104(XW),,
PS 112K ANNEX@K768,,
PS 113(MN),,
PS 12 ANNEX(BRONX),,
PS 12(BN),,K012
PS 128 ANNEX(QUEENS),,
PS 137 JOHN L. BERNSTEIN(MS),,M137
PS 143 ANNEX(MN),,
PS 152(BROOKLYN),,K152
PS 155 DISTRICT 4 OFFICE(MANHATTAN),,
PS 156(BRONX),,X156
PS 171 ECC(BRONX),,X171
PS 172(BRONX),,X172
PS 173(BRONX),,X173
PS 174(BROOKLYN),,K174
PS 176(MANHATTAN),,
PS 180(BROOKLYN),,
PS 183(BROOKLYN),,
PS 198(BRONX),,X198
PS 204 ANNEX(BRONX),,X980
PS 214 ANNEX(BROOKLYN),,
PS 22(BN),,K022
PS 224@P710(QUEENS),,
PS 225(BROOKLYN),,K225
PS 225(QUEENS),,Q225
PS 23(BROOKLYN),,K023
PS 230(BRONX),,X229
PS 234(BRONX),,X234
PS 244(BS),,K244
PS 26 (BROOKLYN),,K026
PS 26(BRONX),,X026
PS 270(BROOKLYN),,K270
PS 279 ANNEX(BRONX),,X279
PS 284 LEW WALLACE(BN),,K284
PS 30 (MANHATTAN),,M030
PS 308(BROOKLYN),,K308
PS 309(BROOKLYN),,K309
PS 314(BROOKLYN),,K314
PS 316(BROOKLYN),,K316
PS 328 PHYLLIS WHEATLEY(BN),,K328
PS 330(QN),,
PS 332(BROOKLYN),,K332
PS 333 THE MUSEUM SCHOOL (XE),,
PS 335(BROOKLYN),,K335
PS 346 ANNEX(BROOKLYN),,K346
PS 346(BROOKLYN),,K346
PS 377(BROOKLYN),,K377
PS 39(BRONX),,X039
PS 399(BROOKLYN),,
PS 48 WILLIAM WORDSWORTH(QS),,Q276
PS 48(BROOKLYN),,K048
PS 499(QUEENS),,Q499
PS 50(BX),,K050
PS 50(XE),,X050
PS 59(BROOKLYN),,K059
PS 60(BRONX),,X060
PS 61(MANHATTAN),,
PS 667,,
PS 75(MANHATTAN),,M075
PS 79 CRESTON(BRONX),,X079
PS 90(BRONX),,X090
PS 95 ANNEX (BRONX),,
PS 95(BRONX),,X095
PS/IS 194 (BRONX),,X194
PS/IS 194(XE),,X194
PS/IS 208 (QUEENS) GLEN OAKS CAMPUS,,Q208
PS/IS 25 NORTH SHORE ANNEX,,
PS/IS 338(BRONX),,X338
PS/IS 35(BROOKLYN),,K035
QUEENS NORTH BOROUGH OFFICE,,
QUEENS SUSPENSION CENTER(QUEENS),,
R119@ST. RITA SCHOOL,,
REGION 1(BRONX),,
REGION 3-LEARNING SUPPORT CENTER(QUEENS),,
REGION 9 LEARNING SUPPORT CENTER(MANHATTAN),,
RICHMOND HILL HS ANNEX(QS),,
SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION  HS(XW),,X655
SAMUEL J TILDEN HS(BROOKLYN),,K415
SARAH J. HALE HIGH SCHOOL(BROOKLYN),,
SCHOOL FOR DEMOCRACY AND LEADERSHIP(BROOKLYN),,
SCHOOL FOR LEGAL STUDIES(BROOKLYN),,
SECOND OPPORTUNITY SCHOOL-SOS (SANKOFA ACADEMY)(BROOKLYN),,K865
SHEEPSHEAD BAY HS(BROOKLYN),,K495
SOUNDVIEW EDUCATIONAL CAMPUS(BRONX),,X972
SOUTH BRONX HS(BRONX),,X470
STATEN ISLAND BOROUGH OFFICE(STATEN ISLAND),,
STEVENSON ANNEX@SOUNDVIEW EDUCATIONAL CAMPUS(BRONX),,X450
STREET ACADEMY(BROOKLYN),,
SUCCESS ACADEMY HIGH SCHOOL OF THE LIBERAL ARTS(MS),,
THE YOUNG SCHOLARS ACADEMY OF THE BRONX(BRONX),,
THEODORE ROOSEVELT EVENING M/W(BRONX),,X435
THEODORE ROOSEVELT GED(BRONX),,X435
THEODORE ROOSEVELT HIGH SCHOOL(BRONX),,X435
TITO PUENTE EDUCATION COMPLEX(MANHATTAN),,M117
UNCOMMON CHARTER HS(BS),,
UPK 066R,,
UPK 068R,,
W.E.B. DU BOIS YABC(BROOKLYN),,
WALTON GED(BRONX),,X430
WALTON HS(BRONX),,X430
WASHINGTON IRVING EVENING M/W(MANHATTAN),,M460
WASHINGTON IRVING YABC(MANHATTAN),,M460
WEST SIDE ALT H.S.(MS),,
WESTINGHOUSE EVENING SCHOOL(BROOKLYN),,
WESTINGHOUSE EVENING T/R(BROOKLYN),,
WILLIAM H TAFT HIGH SCHOOL(BRONX),,X410
WILLIAM H. TAFT GED(BRONX),,X410
WILLIAM H. TAFT HIGH SCHOOL(BRONX),,X410
WILLIAMSBURG CHARTER SCHOOL(BROOKLYN),,
YABC @HS FOR ARTS & BUSINESS(QUEENS),,Q456
