latitude,longitude,school_name,school_no,gc,sw,enroll2022_21,enroll,dbn,black,hispanic,asian,multi,native_a,white,iep,poverty_no,grades_final_text,address,cic,yrly_cic_16_22,pct_chronic_absent,s_know_mh_re_ag,co_located,school_tag,split_skool,s_rr,school_type,lead_cbo_partner,school_psychologist_providing,provider,pct_temp_housing
40.603492,-74.091239,P.S. 048 William G. Wilcox,R048,1.0,1.4,968.0,950.0,31R048,45.0,166.0,255.0,22.0,4.0,457.0,186.0,478,"0K,01,02,03,04,05,06,07,08",1050 Targee Street,13.0,"1,0,0,1,4,3,4",24.6,87.0,R071,District,,94.77124183006536,K-8,,0.0,,1.8329938899999998
40.620443,-74.080695,I.S. 49 Berta A. Dreyfus,R049,2.0,1.6,626.0,585.0,31R049,200.0,269.0,61.0,8.0,5.0,42.0,197.0,534,"06,07,08",101 WARREN STREET,,,60.5,56.99999999999999,R049,District,,1.855287569573284,Junior High-Intermediate-Middle,YMCA of Greater New York,0.0,Richmond University Medical Center,7.4829928599999995
40.560954,-74.124332,P.S. 050 Frank Hankinson,R050,1.0,0.6,713.0,711.0,31R050,18.0,111.0,196.0,18.0,3.0,364.0,152.0,346,"PK,0K,01,02,03,04,05",200 ADELAIDE AVENUE,,,27.3,,,District,,,Elementary,,0.0,,
40.623077,-74.145522,I.S. 051 Edwin Markham,R051,5.0,1.0,1380.0,1351.0,31R051,302.0,653.0,86.0,30.0,8.0,271.0,424.0,990,"06,07,08,SE",80 WILLOWBROOK ROAD,33.0,"0,6,5,4,1,1,16",52.5,86.0,,District,,0.9266409266409266,Junior High-Intermediate-Middle,,0.0,,6.779661030000001
40.58255,-74.089012,P.S. 052 John C. Thompson,R052,1.0,0.4,594.0,602.0,31R052,8.0,102.0,188.0,10.0,4.0,289.0,102.0,405,"PK,0K,01,02,03,04,05",450 BUEL AVENUE,8.0,"0,1,0,5,1,0,1",24.7,,,District,,,Elementary,,0.0,,4.29936312
40.551926,-74.13664,The Barbara Esselborn School,R053,1.0,1.6,813.0,798.0,31R053,11.0,113.0,182.0,18.0,3.0,471.0,161.0,382,"PK,0K,01,02,03,04,05",330 DURANT AVENUE,0.0,"0,0,0,0,0,0,0",24.6,,,District,,,Elementary,,0.0,,0.97560976
40.602779,-74.137259,P.S. 054 Charles W. Leng,R054,0.0,1.8,785.0,806.0,31R054,52.0,132.0,331.0,11.0,4.0,276.0,175.0,475,"PK,0K,01,02,03,04,05",1060 WILLOWBROOK ROAD,12.0,"2,3,0,0,0,0,7",38.8,,,District,,,Elementary,,0.0,,1.15074795
40.536625,-74.163037,P.S. 055 Henry M. Boehm,R055,1.6,0.4,546.0,529.0,31R055,0.0,64.0,43.0,9.0,2.0,411.0,144.0,207,"PK,0K,01,02,03,04,05",54 OSBORNE STREET,1.0,"0,0,0,0,0,0,1",25.6,,,District,,,Elementary,,0.0,,
40.541856,-74.213943,P.S. 56 The Louis Desario School,R056,0.0,0.8,580.0,622.0,31R056,7.0,95.0,67.0,6.0,1.0,446.0,181.0,214,"PK,0K,01,02,03,04,05",250 KRAMER AVENUE,3.0,"0,0,1,1,0,0,1",30.1,,,District,,,Elementary,,0.0,,
40.611136,-74.083799,P.S. 057 Hubert H. Humphrey,R057,1.0,0.6,582.0,522.0,31R057,288.0,185.0,22.0,3.0,8.0,16.0,152.0,460,"PK,0K,01,02,03,04,05",140 PALMA DRIVE,2.0,"0,0,1,1,0,0,0",56.9,,,District,,,Elementary,YMCA of Greater New York,0.0,Richmond University Medical Center,6.4285717899999995
